Date,TSLA,BND,SPY
2015-01-02,14.620667457580566,59.405418395996094,169.68785095214844
2015-01-05,14.005999565124512,59.57794570922852,166.6233673095703
2015-01-06,14.085332870483398,59.75044631958008,165.05392456054688
2015-01-07,14.063332557678224,59.78634643554688,167.11070251464844
2015-01-08,14.041333198547363,59.6928939819336,170.07606506347656
2015-01-09,13.77733325958252,59.79354095458984,168.71315002441406
2015-01-12,13.480667114257812,59.87260437011719,167.39154052734375
2015-01-13,13.616666793823242,59.93011474609375,166.9207000732422
2015-01-14,12.845999717712402,60.06664276123047,165.91297912597656
2015-01-15,12.791333198547363,60.33259582519531,164.3931427001953
2015-01-16,12.871333122253418,60.15291213989258,166.54901123046875
2015-01-19,12.871333122253418,60.15291213989258,166.54901123046875
2015-01-20,12.795332908630373,60.088191986083984,166.90414428710938
2015-01-21,13.104666709899902,59.97323226928711,167.7467041015625
2015-01-22,13.441332817077637,59.98759078979492,170.24130249023438
2015-01-23,13.419333457946776,60.18165969848633,169.30795288085938
2015-01-26,13.770000457763672,60.109806060791016,169.70436096191406
2015-01-27,13.732000350952148,60.145729064941406,167.46588134765625
2015-01-28,13.291333198547363,60.36135482788086,165.31825256347656
2015-01-29,13.68000030517578,60.29667663574219,166.8463592529297
2015-01-30,13.57333278656006,60.627288818359375,164.748291015625
2015-02-02,14.062666893005373,60.55521774291992,166.78854370117188
2015-02-03,14.557332992553713,60.36802291870117,169.2005157470703
2015-02-04,14.56999969482422,60.389610290527344,168.5561981201172
2015-02-05,14.732666969299316,60.25997924804688,170.2578125
2015-02-06,14.490667343139648,59.87110137939453,169.78695678710938
2015-02-09,14.498666763305664,59.84948348999024,169.0270233154297
2015-02-10,14.419333457946776,59.7414665222168,170.8277587890625
2015-02-11,14.186667442321776,59.7414665222168,170.92684936523438
2015-02-12,13.525333404541016,59.77025604248047,172.5706329345703
2015-02-13,13.584667205810549,59.633419036865234,173.281005859375
2015-02-16,13.584667205810549,59.633419036865234,173.281005859375
2015-02-17,13.623332977294922,59.39571380615234,173.5535888671875
2015-02-18,13.630666732788086,59.56138610839844,173.5701446533203
2015-02-19,14.11400032043457,59.510963439941406,173.4462127685547
2015-02-20,14.473999977111816,59.52537536621094,174.48695373535156
2015-02-23,13.822667121887209,59.64778518676758,174.46217346191406
2015-02-24,13.607333183288574,59.89268493652344,174.95773315429688
2015-02-25,13.583999633789062,59.9503059387207,174.80911254882812
2015-02-26,13.812666893005373,59.78465270996094,174.60267639160156
2015-02-27,13.555999755859377,59.835052490234375,174.0078887939453
2015-03-02,13.155332565307615,59.64167785644531,175.1065216064453
2015-03-03,13.303999900817873,59.56952667236328,174.38787841796875
2015-03-04,13.496000289916992,59.56952667236328,173.65274047851562
2015-03-05,13.375332832336426,59.60557556152344,173.84268188476562
2015-03-06,12.925333023071287,59.25922775268555,171.39768981933594
2015-03-09,12.725333213806152,59.33137893676758,172.10806274414062
2015-03-10,12.687999725341797,59.56229019165039,169.31613159179688
2015-03-11,12.916000366210938,59.62720489501953,168.91961669921875
2015-03-12,12.73799991607666,59.67057037353516,171.06727600097656
2015-03-13,12.57866668701172,59.61277770996094,170.01821899414062
2015-03-16,13.046667098999023,59.72825241088867,172.289794921875
2015-03-17,12.982000350952148,59.77874755859375,171.7776641845703
2015-03-18,13.380666732788086,60.14680862426758,173.84268188476562
2015-03-19,13.043333053588867,59.96641159057617,173.0497283935547
2015-03-20,13.20533275604248,60.12515640258789,174.5771484375
2015-03-23,13.308667182922363,60.15403366088867,174.2369842529297
2015-03-24,13.447999954223633,60.25503540039063,173.2580108642578
2015-03-25,12.953332901000977,60.161224365234375,170.71910095214844
2015-03-26,12.694000244140623,59.96641159057617,170.31253051757812
2015-03-27,12.333333015441896,60.02412796020508,170.70249938964844
2015-03-30,12.704667091369627,60.09628677368164,172.78504943847656
2015-03-31,12.584667205810549,60.161224365234375,171.2749786376953
2015-04-01,12.505999565124512,60.40059661865234,170.66932678222656
2015-04-02,12.733332633972168,60.321075439453125,171.28326416015625
2015-04-03,12.733332633972168,60.321075439453125,171.28326416015625
2015-04-06,13.539999961853027,60.37168502807617,172.43658447265625
2015-04-07,13.550000190734863,60.407833099365234,171.98025512695312
2015-04-08,13.844667434692385,60.36444854736328,172.56100463867188
2015-04-09,14.005999565124512,60.23430252075195,173.3243408203125
2015-04-10,14.0600004196167,60.205352783203125,174.27020263671875
2015-04-13,13.985333442687988,60.21981430053711,173.48196411132812
2015-04-14,13.830666542053224,60.32833480834961,173.8139190673828
2015-04-15,13.85533332824707,60.38618850708008,174.59378051757812
2015-04-16,13.779999732971191,60.37168502807617,174.54400634765625
2015-04-17,13.78600025177002,60.47298812866211,172.5361328125
2015-04-20,13.684666633605955,60.407833099365234,174.11256408691406
2015-04-21,13.96066665649414,60.33552169799805,173.9051513671875
2015-04-22,14.629332542419434,60.1113166809082,174.759765625
2015-04-23,14.57333278656006,60.22703552246094,175.19944763183594
