,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct
Strategy,28.59777192628805,17.696366004524954,0.9039082256941301,-18.755221196416628
Benchmark (60/40),20.2934021141703,12.715032197745945,0.9782406761780782,-11.248371333026142
